"Production Company","Qualified CT Expenditures","Date Issued","Amount of Tax Credit Issued","Program Name","Statutory Reference","Municipality"
"ITV America, Inc.","$8,092,637.00","2022-09-08T00:00:00.000","$1,618,527","Film Infrastructure Tax Credit","CGS 12-217kk","Stamford"
"Cold Weather Productions, LLC","$9,482,597.00","2022-09-09T00:00:00.000","$2,844,779","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Haloran, LLC","$432,394.00","2017-04-24T00:00:00.000","$43,239","Film and Digital Media Production Tax Credit","CGS 12-217jj","Cornwall"
"Digital Surgeons, LLC","$5,090,326.00","2022-09-16T00:00:00.000","$1,527,098","Film and Digital Media Production Tax Credit","CGS 12-217jj","New Haven"
"Soul Santa, LLC","$1,634,787.00","2022-09-23T00:00:00.000","$490,436","Film and Digital Media Production Tax Credit","CGS 12-217jj","Rocky Hill"
"World Wrestling Entertainment Inc.","$38,944,055.00","2022-09-29T00:00:00.000","$11,683,217","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"World Wrestling Entertainment, Inc.","$7,932,279.00","2022-09-29T00:00:00.000","$2,379,684","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"The Nantucket Project, LLC","$1,270,300.00","2022-10-27T00:00:00.000","$381,090","Film and Digital Media Production Tax Credit","CGS 12-217jj","Greenwich"
"Stamford Media Center Productions, LLC","$25,227,583.00","2022-11-20T00:00:00.000","$7,568,275","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Stamford Media Center Productions, LLC","$16,015,344.00","2022-11-20T00:00:00.000","$4,804,603","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Stamford Media Center Productions, LLC","$1,608,499.00","2022-11-20T00:00:00.000","$482,550","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Stamford Media Center Productions, LLC","$7,070,770.00","2022-11-20T00:00:00.000","$2,121,231","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Bob's Discount Furniture LLC","$2,316,083.00","2022-11-21T00:00:00.000","$694,825","Film and Digital Media Production Tax Credit","CGS 12-217jj","Manchester"
"Connecticut Public Broadcasting, Inc.","$4,675,026.00","2022-12-09T00:00:00.000","$1,402,508","Film and Digital Media Production Tax Credit","CGS 12-217jj","Hartford"
"ESPN Enterprises, Inc.","$60,994,993.00","2022-12-15T00:00:00.000","$18,298,498","Film and Digital Media Production Tax Credit","CGS 12-217jj","Bristol"
"Sono Animation Company, LLC","$1,128,281.00","2022-12-16T00:00:00.000","$338,484","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"A&E Television Networks, LLC","$33,971,486.00","2022-12-30T00:00:00.000","$10,148,946","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Hedgeye Risk Management, LLC","$10,074,256.00","2022-12-31T00:00:00.000","$3,022,277","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Tantor Media, Inc.","$6,665,644.00","2022-12-31T00:00:00.000","$1,999,693","Film and Digital Media Production Tax Credit","CGS 12-217jj","Old Saybrook"
"Royal Productions, LLC","$2,363,147.00","2023-01-11T00:00:00.000","$708,944","Film and Digital Media Production Tax Credit","CGS 12-217jj","Rocky Hill"
"Lucky 8 TV, LLC","$7,995,782.00","2023-01-27T00:00:00.000","$2,398,735","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Swing by Swing Golf, Inc.","$3,006,766.00","2023-02-02T00:00:00.000","$902,030","Film and Digital Media Production Tax Credit","CGS 12-217jj","Hartford"
"Merry Ex-Mas LLC","$1,259,063.00","2023-02-24T00:00:00.000","$377,718","Film and Digital Media Production Tax Credit","CGS 12-217jj","Cromwell"
"Stage 29 Productions, LLC","$3,547,619.00","2023-02-24T00:00:00.000","$1,064,286","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Cine Magnetics, Inc.","$3,344,804.00","2023-03-17T00:00:00.000","$1,003,441","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Christmas Fix, LLC","$1,732,800.00.","2023-04-23T00:00:00.000","$519,840","Film and Digital Media Production Tax Credit","CGS 12-217jj","Rocky Hill"
"NBC Olympics, LLC","$3,184,783.00","2023-05-23T00:00:00.000","$955,435","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"NBC Sports Ventures LLC","$13,884,173.00","2023-05-23T00:00:00.000","$4,165,252","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"NBCUniversal Media, LLC","$35,154,175.00","2023-05-23T00:00:00.000","$7,030,835","Film Infrastructure Tax Credit","CGS 12-217kk","Stamford"
"CivicPlus, LLC","$2,772,650.00","2023-06-08T00:00:00.000","$831,795","Film and Digital Media Production Tax Credit","CGS 12-217jj","New Haven"
"ITV America, Inc.","$29,811,594.00","2023-06-08T00:00:00.000","$8,943,478","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Newsub 120 Productions, Inc.","$17,378,805.00","2023-06-08T00:00:00.000","$5,213,642","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Sand Dollar Productions, LLC","$2,148,446.00","2023-06-16T00:00:00.000","$644,534","Film and Digital Media Production Tax Credit","CGS 12-217jj","Rocky Hill"
"This Old House Ventures, LLC","$5,029,765.00","2023-07-18T00:00:00.000","$1,508,930","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"XVIVO, LLC","$1,608,282.00","2023-07-27T00:00:00.000","$482,485","Film and Digital Media Production Tax Credit","CGS 12-217jj","Wethersfield"
"Hot Snakes Holdings, LLC","$4,407,816.00","2023-08-01T00:00:00.000","$1,322,345","Film and Digital Media Production Tax Credit","CGS 12-217jj","Greenwich"
"Stephen David Entertainment, LLC","$10,242,189.00","2023-08-10T00:00:00.000","$3,072,657","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"National Media Connection LLC","$505,604.00","2023-08-17T00:00:00.000","$75,841","Film and Digital Media Production Tax Credit","CGS 12-217jj","New London"
"Ralph Edwards/Stu Billett Productions","$12,096,293.00","2023-08-25T00:00:00.000","$3,628,888","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Triple Threat Connecticut, LLC","$1,405,489.00","2023-09-06T00:00:00.000","$421,647","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"World Wrestling Entertainment Inc.","$42,296,820.00","2023-09-06T00:00:00.000","$12,689,046","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"World Wrestling Entertainment, Inc.","$7,899,499.00","2023-09-06T00:00:00.000","$2,369,850","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Digital Surgeons, LLC","$5,418,010.00","2023-09-14T00:00:00.000","$1,625,403","Film and Digital Media Production Tax Credit","CGS 12-217jj","New Haven"
"Full Frontal, LLC","$6,813,202.00","2023-09-21T00:00:00.000","$2,043,961","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"NBC Sports Network, LP","$89,068,730.00","2023-09-28T00:00:00.000","$26,720,619","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Good Nurse Productions, LLC","$29,891,978.00","2023-09-29T00:00:00.000","$8,967,593","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Big Pond Films, LLC","$1,177,865.00","2023-10-06T00:00:00.000","$353,360","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwich"
"Peacock TV, LLC","$11,116,003.00","2023-11-17T00:00:00.000","$3,334,801","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Skydance Animation East, LLC","$9,376,049.00","2023-11-21T00:00:00.000","$2,812,815","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Park Slope Productions, Inc.","$3,271,639.00","2023-12-01T00:00:00.000","$981,492","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"ESPN Enterprises, Inc.","$51,267,229.00","2023-12-08T00:00:00.000","$15,380,169","Film and Digital Media Production Tax Credit","CGS 12-217jj","Bristol"
"My Old House LLC","$2,947,718.00","2023-12-19T00:00:00.000","$884,315","Film and Digital Media Production Tax Credit","CGS 12-217jj","Danbury"
"A&E Television Networks, LLC","$21,011,383.00","2023-12-31T00:00:00.000","$6,303,415","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Hedgeye Risk Management, LLC","$11,002,163.00","2023-12-31T00:00:00.000","$3,300,649","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Bob's Discount Furniture LLC","$2,624,928.00","2024-01-17T00:00:00.000","$787,478","Film and Digital Media Production Tax Credit","CGS 12-217jj","Manchester"
"Stamford Media Center Productions, LLC","$25,339,251.00","2024-01-22T00:00:00.000","$7,601,775","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Stamford Media Center Productions, LLC","$16,190,107.00","2024-01-22T00:00:00.000","$4,857,032","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Stamford Media Center Productions, LLC","$1,021,398.00","2024-01-22T00:00:00.000","$306,419","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Stamford Media Center Productions, LLC","$6,663,112.00","2024-01-22T00:00:00.000","$1,998,934","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Captured Time Productions, LLC","$2,479,990.00","2024-01-25T00:00:00.000","$743,997","Film and Digital Media Production Tax Credit","CGS 12-217jj","Litchfield"
"Full Frontal, LLC","$26,958,287.00","2024-02-02T00:00:00.000","$8,087,486","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
