"Production Company","Qualified CT Expenditures","Date Issued","Amount of Tax Credit Issued","Program Name","Statutory Reference","Municipality"
"NBC Olympics, Inc.","$1,255,583.00","2012-06-25T00:00:00.000","$376,675","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"NBC Sports Ventures Inc.","$3,167,254.00","2012-06-25T00:00:00.000","$950,176","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"AWTY Productions","$12,502,173.00","2012-07-10T00:00:00.000","$3,750,652","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Captured Time Productions, LLC","$438,138.00","2012-07-20T00:00:00.000","$131,441","Film and Digital Media Production Tax Credit","CGS 12-217jj","Litchfield"
"Synthetic Cinema International LLC","$628,847.00","2012-07-20T00:00:00.000","$188,654","Film and Digital Media Production Tax Credit","CGS 12-217jj","Rocky Hill"
"Triple Threat Connecticut, LLC","$1,216,470.00","2012-08-17T00:00:00.000","$364,941","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Colony Video 2018 Productions","$250,414.00","2022-09-16T00:00:00.000","$25,041","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stonington"
"Bald Diner, LLC","$2,789,179.00","2012-09-19T00:00:00.000","$836,754","Film and Digital Media Production Tax Credit","CGS 12-217jj","West Hartford"
"World Wrestling Entertainment Inc.","$18,425,120.00","2012-09-25T00:00:00.000","$5,527,536","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"World Wrestling Entertainment, Inc.","$6,693,139.00","2012-09-25T00:00:00.000","$2,007,942","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Blue Sky Studios, Inc.","$37,278,261.00","2012-09-28T00:00:00.000","$4,696,843","Digital Animation Production Company Tax Credit","CGS 12-217ll","Greenwich"
"Viola and Piano, LLC","$1,302,222.00","2012-10-31T00:00:00.000","$390,667","Film and Digital Media Production Tax Credit","CGS 12-217jj","Salisbury"
"National Media Connection LLC","$177,179.00","2012-11-09T00:00:00.000","$17,718","Film and Digital Media Production Tax Credit","CGS 12-217jj","New London"
"Bob's Discount Furniture LLC","$418,132.00","2012-11-28T00:00:00.000","$125,440","Film and Digital Media Production Tax Credit","CGS 12-217jj","Manchester"
"Freeplay Labs LLC","$279,702.00","2012-12-06T00:00:00.000","$27,970","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Alive and Kicking, Inc.","$1,346,987.00","2012-12-11T00:00:00.000","$404,096","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Dreadful, LLC","$1,598,993.00","2013-02-15T00:00:00.000","$479,698","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"Telemark Films, LLC","$339,021.00","2009-06-19T00:00:00.000","$101,706.66","Film and Digital Media Production Tax Credit","CGS 12-217jj","Groton"
"Remote Broadcasting, Inc.","$18,013,939.00","2013-02-27T00:00:00.000","$5,404,182","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Budderfly Two, LLC","$1,261,408.00","2013-03-11T00:00:00.000","$378,422","Film and Digital Media Production Tax Credit","CGS 12-217jj","Shelton"
"Blue Sky Studios, Inc.","$42,931,166.00","2013-03-28T00:00:00.000","$12,879,350","Digital Animation Production Company Tax Credit","CGS 12-217ll","Greenwich"
"The Brand Gallery","$385,634.00","2013-03-28T00:00:00.000","$77,127","Film Infrastructure Tax Credit","CGS 12-217kk","Greenwich"
"LifeMed Media Inc.","$1,064,200.00","2013-04-08T00:00:00.000","$319,260","Film and Digital Media Production Tax Credit","CGS 12-217jj","Westport"
"Venan Entertainment, Inc.","$691,972.00","2013-04-08T00:00:00.000","$103,796","Film and Digital Media Production Tax Credit","CGS 12-217jj","Cromwell"
"ESPN Enterprises, Inc.","$5,202,877.00","2013-04-15T00:00:00.000","$1,560,863","Film and Digital Media Production Tax Credit","CGS 12-217jj","Bristol"
"ESPN Internet Ventures","$32,447,818.00","2013-04-15T00:00:00.000","$9,734,345","Film and Digital Media Production Tax Credit","CGS 12-217jj","Bristol"
"Handmade TV, LLC","$1,429,677.00","2013-05-02T00:00:00.000","$428,903","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"LG Productions, LLC","$1,796,437.00","2013-05-02T00:00:00.000","$538,931","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"Roger Wilco Productions, LLC","$86,635.00","2013-05-13T00:00:00.000","$25,991","Film and Digital Media Production Tax Credit","CGS 12-217jj","New Canaan"
"SeeClickFix, Inc.","$1,206,328.00","2013-05-13T00:00:00.000","$361,898","Film and Digital Media Production Tax Credit","CGS 12-217jj","New Haven"
"SFOS Productions, LLC","$1,106,939.00","2013-06-20T00:00:00.000","$332,082","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"Concentric Entertainment, LLC","$1,051,653.00","2013-07-12T00:00:00.000","$315,496","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"LifeMed Media Inc.","$3,051,232.00","2013-07-12T00:00:00.000","$915,370","Film and Digital Media Production Tax Credit","CGS 12-217jj","Westport"
"Beneath, LLC","$1,440,099.00","2013-07-17T00:00:00.000","$432,030","Film and Digital Media Production Tax Credit","CGS 12-217jj","Oxford"
"Ruckus Media Group","$591,992.00","2013-07-17T00:00:00.000","$88,799","Film and Digital Media Production Tax Credit","CGS 12-217jj","Wilton"
"Young Feature Films, LLC","$269,732.00","2013-07-17T00:00:00.000","$80,920","Film and Digital Media Production Tax Credit","CGS 12-217jj","Hartford"
"Stamford Media Center Productions, LLC","$2,201,204.00","2013-07-29T00:00:00.000","$660,361","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Stamford Media Center Productions, LLC","$411,634.00","2013-07-29T00:00:00.000","$123,490","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Stamford Media Center Productions, LLC","$172,671.00","2013-07-29T00:00:00.000","$51,801","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"The Switch Productions, LLC","$8,869,189.00","2013-08-08T00:00:00.000","$2,660,757","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Bret Stern Productions, LLC","$1,307,039.00","2013-08-23T00:00:00.000","$392,112","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"The Brand Gallery, LLC","$542,834.00","2013-08-23T00:00:00.000","$81,425","Film and Digital Media Production Tax Credit","CGS 12-217jj","Greenwich"
"Stamford Media Center Productions, LLC","$26,592,494.00","2013-08-28T00:00:00.000","$7,977,748","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Stamford Media Center Productions, LLC","$17,539,610.00","2013-08-28T00:00:00.000","$5,261,883","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Stamford Media Center Productions, LLC","$9,230,544.00","2013-08-28T00:00:00.000","$2,769,163","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"National Media Connection LLC","$222,999.00","2013-09-06T00:00:00.000","$22,300","Film and Digital Media Production Tax Credit","CGS 12-217jj","New London"
"ESPN, Inc. DC-2 Phase 1","$72,153,302.00","2013-09-12T00:00:00.000","$14,430,660","Film Infrastructure Tax Credit","CGS 12-217kk","Bristol"
"World Wrestling Entertainment Inc.","$25,263,479.00","2013-09-12T00:00:00.000","$7,579,044","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"World Wrestling Entertainment, Inc.","$10,336,288.00","2013-09-12T00:00:00.000","$3,100,886","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Remote Broadcasting, Inc.","$14,367,449.00","2013-09-20T00:00:00.000","$4,310,235","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Blue Sky Studios, Inc.","$44,499,476.00","2013-09-23T00:00:00.000","$2,120,650","Digital Animation Production Company Tax Credit","CGS 12-217ll","Greenwich"
"Houses of the Holy, LLC","$1,132,429.00","2013-10-07T00:00:00.000","$339,729","Film and Digital Media Production Tax Credit","CGS 12-217jj","New Fairfield"
"Brenwood Film, LLC","$6,079,959.00","2013-10-28T00:00:00.000","$1,823,988","Film and Digital Media Production Tax Credit","CGS 12-217jj","Greenwich"
"Triple Threat Connecticut, LLC","$1,551,312.00","2013-10-28T00:00:00.000","$465,394","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Synthetic Production, LLC","$1,073,393.00","2013-10-29T00:00:00.000","$322,018","Film and Digital Media Production Tax Credit","CGS 12-217jj","Rocky Hill"
"Ralph Edwards/Stu Billett Productions","$11,811,741.00","2013-11-13T00:00:00.000","$3,543,522","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"SeeClickFix, Inc.","$1,540,569.00","2013-12-23T00:00:00.000","$462,171","Film and Digital Media Production Tax Credit","CGS 12-217jj","New Haven"
"CFC Exit 9,LLC","$14,287,426.00","2013-12-27T00:00:00.000","$2,857,485","Film Infrastructure Tax Credit","CGS 12-217kk","Stamford"
"NBCUniversal Media, LLC","$117,727,906.00","2013-12-27T00:00:00.000","$23,545,581","Film Infrastructure Tax Credit","CGS 12-217kk","Stamford"
"Production One, Inc.","$3,367,622.00","2014-01-15T00:00:00.000","$1,010,287","Film and Digital Media Production Tax Credit","CGS 12-217jj","Guilford"
"ASIG Productions, LLC","$12,960,172.00","2014-01-17T00:00:00.000","$3,888,052","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"MRB Productions","$263,005.00","2014-01-31T00:00:00.000","$26,300","Film and Digital Media Production Tax Credit","CGS 12-217jj","Torrington"
"World Wrestling Entertainment, Inc.","$5,043,689.00","2014-02-07T00:00:00.000","$1,008,738","Film Infrastructure Tax Credit","CGS 12-217kk","Stamford"
"World Wrestling Entertainment, Inc.","$12,865,135.00","2014-02-07T00:00:00.000","$2,573,027","Film Infrastructure Tax Credit","CGS 12-217kk","Stamford"
"Ease Commercial Services, Inc.","$1,581,641.00","2014-02-20T00:00:00.000","$474,492","Film and Digital Media Production Tax Credit","CGS 12-217jj","Westport"
"NBC Olympics, LLC","$1,569,136.00","2014-02-26T00:00:00.000","$470,741","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"NBC Sports Ventures LLC","$5,919,410.00","2014-02-26T00:00:00.000","$1,775,823","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Tantor Media, Inc.","$2,135,602.00","2014-03-10T00:00:00.000","$640,681","Film and Digital Media Production Tax Credit","CGS 12-217jj","Old Saybrook"
"Venan Entertainment, Inc.","$1,112,782.00","2014-03-21T00:00:00.000","$333,835","Film and Digital Media Production Tax Credit","CGS 12-217jj","Cromwell"
"Hedgeye Risk Management, LLC","$4,558,511.00","2014-04-04T00:00:00.000","$1,367,553","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Handmade TV, LLC","$540,517.00","2014-04-08T00:00:00.000","$81,078","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"Blue Sky Studios, Inc.","$47,793,745.00","2014-04-09T00:00:00.000","$14,338,124","Digital Animation Production Company Tax Credit","CGS 12-217ll","Greenwich"
"Back9Network, Inc.","$6,127,395.00","2014-05-05T00:00:00.000","$1,225,479","Film Infrastructure Tax Credit","CGS 12-217kk","Hartford"
"ESPN Enterprises, Inc.","$4,215,620.00","2014-05-06T00:00:00.000","$1,264,686","Film and Digital Media Production Tax Credit","CGS 12-217jj","Bristol"
"ESPN Internet Ventures","$34,002,943.00","2014-05-06T00:00:00.000","$10,200,883","Film and Digital Media Production Tax Credit","CGS 12-217jj","Bristol"
"Wanderlust Productions Inc","$519,908.00","2014-05-14T00:00:00.000","$77,986","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"LifeMed Media Inc.","$2,975,975.00","2014-05-20T00:00:00.000","$892,793","Film and Digital Media Production Tax Credit","CGS 12-217jj","Westport"
"Ease Commercial Services, Inc.","$1,972,973.00","2014-06-23T00:00:00.000","$591,892","Film and Digital Media Production Tax Credit","CGS 12-217jj","Westport"
"Triple Threat Connecticut, LLC","$1,717,850.00","2014-06-24T00:00:00.000","$515,355","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Connecticut Public Broadcasting, Inc.","$1,009,839.00","2014-06-27T00:00:00.000","$302,952","Film and Digital Media Production Tax Credit","CGS 12-217jj","Hartford"
"Telemark Films, LLC","$262,662.00","2010-04-08T00:00:00.000","$78,799","Film and Digital Media Production Tax Credit","CGS 12-217jj","Groton"
"Digital Surgeons, LLC","$1,444,067.00","2014-07-10T00:00:00.000","$433,220","Film and Digital Media Production Tax Credit","CGS 12-217jj","New Haven"
"National Media Connection LLC","$367,483.00","2014-07-23T00:00:00.000","$36,748","Film and Digital Media Production Tax Credit","CGS 12-217jj","New London"
"The Brand Gallery, LLC","$525,984.00","2014-07-31T00:00:00.000","$78,898","Film and Digital Media Production Tax Credit","CGS 12-217jj","Greenwich"
"XVIVO, LLC","$1,262,512.00","2014-08-04T00:00:00.000","$378,754","Film and Digital Media Production Tax Credit","CGS 12-217jj","Wethersfield"
"Connecticut Public Broadcasting, Inc.","$1,646,536.00","2014-08-19T00:00:00.000","$493,961","Film and Digital Media Production Tax Credit","CGS 12-217jj","Hartford"
"Track180, LLC","$1,010,000.00","2014-08-22T00:00:00.000","$303,000","Film and Digital Media Production Tax Credit","CGS 12-217jj","New Haven"
"World Wrestling Entertainment Inc.","$29,427,341.00","2014-09-10T00:00:00.000","$8,828,202","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"World Wrestling Entertainment, Inc.","$10,342,049.00","2014-09-10T00:00:00.000","$3,102,615","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Sono Studios LTD LLC","$1,340,505.00","2014-09-16T00:00:00.000","$402,152","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"FilmOne, LLC","$2,087,946.00","2014-09-23T00:00:00.000","$626,384","Film and Digital Media Production Tax Credit","CGS 12-217jj","Rocky Hill"
"ESPN, Inc. DC-2 Phase 2","$60,693,387.00","2014-10-07T00:00:00.000","$12,138,677","Film Infrastructure Tax Credit","CGS 12-217kk","Bristol"
"Back9Network, Inc.","$4,658,120.00","2014-10-10T00:00:00.000","$1,397,436","Film and Digital Media Production Tax Credit","CGS 12-217jj","Hartford"
"Stamford Media Center Productions, LLC","$26,087,669.00","2014-11-19T00:00:00.000","$7,826,301","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Stamford Media Center Productions, LLC","$15,770,662.00","2014-11-19T00:00:00.000","$4,731,199","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Stamford Media Center Productions, LLC","$9,002,923.00","2014-11-19T00:00:00.000","$2,700,877","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Explorer Films, LLC","$1,156,052.00","2014-11-20T00:00:00.000","$346,816","Film and Digital Media Production Tax Credit","CGS 12-217jj","Weston"
"Prospect Park Networks, LLC","$19,910,154.00","2014-11-28T00:00:00.000","$5,973,046","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Sonalysts, Inc.","$2,462,650.00","2014-11-28T00:00:00.000","$738,795","Film and Digital Media Production Tax Credit","CGS 12-217jj","Waterford"
"Ralph Edwards/Stu Billett Productions","$13,652,937.00","2014-12-04T00:00:00.000","$4,095,881","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Blue Sky Studios, Inc.","$17,999,529.00","2014-12-11T00:00:00.000","$661,876","Digital Animation Production Company Tax Credit","CGS 12-217ll","Greenwich"
"Ruckus Media Group","$372,036.00","2014-12-19T00:00:00.000","$37,204","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"Blue Sky Studios, Inc.","$11,194,497.00","2014-12-22T00:00:00.000","$2,238,899","Film Infrastructure Tax Credit","CGS 12-217kk","Greenwich"
"Informant Media, Inc","$7,370,597.00","2014-12-23T00:00:00.000","$2,211,179","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Chimera Productions, LLC","$1,197,041.00","2015-01-30T00:00:00.000","$359,112","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"Hart Filled Christmas, Inc.","$1,372,886.00","2015-02-03T00:00:00.000","$411,866","Film and Digital Media Production Tax Credit","CGS 12-217jj","Bridgeport"
"Bob's Discount Furniture LLC","$1,136,340.00","2015-02-10T00:00:00.000","$340,902","Film and Digital Media Production Tax Credit","CGS 12-217jj","Manchester"
"Scarlet Sky Productions, LLC","$235,706.00","2015-02-13T00:00:00.000","$23,571","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"SeeClickFix, Inc.","$1,893,467.00","2015-02-13T00:00:00.000","$568,040","Film and Digital Media Production Tax Credit","CGS 12-217jj","New Haven"
"CFC Stillwater, LLC","$3,973,709.00","2015-02-17T00:00:00.000","$794,742","Film Infrastructure Tax Credit","CGS 12-217kk","Stamford"
"Venan Entertainment, Inc.","$1,490,947.00","2015-02-20T00:00:00.000","$447,284","Film and Digital Media Production Tax Credit","CGS 12-217jj","Cromwell"
"Connecticut Public Broadcasting, Inc.","$4,708,965.00","2015-03-17T00:00:00.000","$941,793","Film Infrastructure Tax Credit","CGS 12-217kk","Hartford"
"Blue Sky Studios, Inc.","$27,145,966.00","2015-03-30T00:00:00.000","$8,143,790","Digital Animation Production Company Tax Credit","CGS 12-217ll","Greenwich"
"Tantor Media, Inc.","$2,692,772.00","2015-04-30T00:00:00.000","$807,772","Film and Digital Media Production Tax Credit","CGS 12-217jj","Old Saybrook"
"NBC Olympics, LLC","$2,079,590.00","2015-05-03T00:00:00.000","$623,877","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"NBC Sports Ventures LLC","$6,652,706.00","2015-05-03T00:00:00.000","$1,995,812","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Hedgeye Risk Management, LLC","$7,228,929.00","2015-05-04T00:00:00.000","$2,168,679","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"ESPN Enterprises, Inc.","$11,879,912.00","2015-06-03T00:00:00.000","$3,563,974","Film and Digital Media Production Tax Credit","CGS 12-217jj","Bristol"
"ESPN Internet Ventures","$29,690,615.00","2015-06-03T00:00:00.000","$8,907,185","Film and Digital Media Production Tax Credit","CGS 12-217jj","Bristol"
"Triple Threat Connecticut, LLC","$2,198,533.00","2015-06-12T00:00:00.000","$659,560","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"LifeMed Media Inc.","$2,067,198.00","2015-06-23T00:00:00.000","$620,159","Film and Digital Media Production Tax Credit","CGS 12-217jj","Westport"
"National Media Connection LLC","$399,464.00","2015-06-25T00:00:00.000","$39,945","Film and Digital Media Production Tax Credit","CGS 12-217jj","New London"
"Sono Studios LTD LLC","$1,319,920.00","2015-07-17T00:00:00.000","$395,976","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"Blue Sky Studios, Inc.","$26,121,621.00","2015-07-20T00:00:00.000","$6,856,210","Digital Animation Production Company Tax Credit","CGS 12-217ll","Greenwich"
"XVIVO, LLC","$1,169,168.00","2015-07-30T00:00:00.000","$350,750","Film and Digital Media Production Tax Credit","CGS 12-217jj","Wethersfield"
"Orange Lion Productions, LLC","$1,106,391.00","2015-08-25T00:00:00.000","$331,917","Film and Digital Media Production Tax Credit","CGS 12-217jj","Fairfield"
"FilmOne, LLC","$1,449,504.00","2015-09-17T00:00:00.000","$434,851","Film and Digital Media Production Tax Credit","CGS 12-217jj","Rocky Hill"
"Connecticut Public Broadcasting, Inc.","$2,378,613.00","2015-09-24T00:00:00.000","$713,584","Film and Digital Media Production Tax Credit","CGS 12-217jj","Hartford"
"World Wrestling Entertainment Inc.","$30,582,195.00","2015-09-29T00:00:00.000","$9,174,659","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"World Wrestling Entertainment, Inc.","$9,221,708.00","2015-09-29T00:00:00.000","$2,766,512","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"A&E Television Networks, LLC","$36,869,078.00","2015-09-30T00:00:00.000","$11,060,723","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Telemark Films, LLC","$96,465.00","2010-04-08T00:00:00.000","$28,940","Film and Digital Media Production Tax Credit","CGS 12-217jj","Groton"
"Bob's Discount Furniture LLC","$1,581,620.00","2015-12-04T00:00:00.000","$474,486","Film and Digital Media Production Tax Credit","CGS 12-217jj","Manchester"
"FasterQuickly, LLC","$1,188,146.00","2015-12-04T00:00:00.000","$356,444","Film and Digital Media Production Tax Credit","CGS 12-217jj","Weston"
"Hedgeye Risk Management, LLC","$7,574,024.00","2015-12-08T00:00:00.000","$2,272,207","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"ESPN, Inc. DC-2 Phase 3","$69,690,312.00","2015-12-18T00:00:00.000","$13,938,062","Film Infrastructure Tax Credit","CGS 12-217kk","Bristol"
"Tantor Media, Inc.","$2,540,830.00","2015-12-18T00:00:00.000","$762,249","Film and Digital Media Production Tax Credit","CGS 12-217jj","Old Saybrook"
"Ralph Edwards/Stu Billett Productions","$13,230,630.00","2016-01-13T00:00:00.000","$3,969,189","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Digital Surgeons, LLC","$1,638,487.00","2016-01-15T00:00:00.000","$491,546","Film and Digital Media Production Tax Credit","CGS 12-217jj","New Haven"
"NBCUniversal Media, LLC","$32,822,618.00","2016-02-11T00:00:00.000","$6,564,523.6","Film Infrastructure Tax Credit","CGS 12-217kk","Stamford"
"Venan Entertainment, Inc.","$1,367,542.00","2016-03-16T00:00:00.000","$410,263","Film and Digital Media Production Tax Credit","CGS 12-217jj","Cromwell"
"Blue Sky Studios, Inc.","$28,230,101.00","2016-03-24T00:00:00.000","$8,469,030","Digital Animation Production Company Tax Credit","CGS 12-217ll","Greenwich"
"Valleycrest Productions Ltd.","$16,998,918.00","2016-04-26T00:00:00.000","$5,099,675","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"ESPN Enterprises, Inc.","$17,497,038.00","2016-05-04T00:00:00.000","$5,249,111","Film and Digital Media Production Tax Credit","CGS 12-217jj","Bristol"
"ESPN Internet Ventures","$30,784,245.00","2016-05-04T00:00:00.000","$9,235,274","Film and Digital Media Production Tax Credit","CGS 12-217jj","Bristol"
"ESPN, Inc. DC-1 Upgrade","$4,004,808.00","2016-05-04T00:00:00.000","$800,962","Film Infrastructure Tax Credit","CGS 12-217kk","Bristol"
"HandmadeTV, LLC","$383,155.00","2016-05-20T00:00:00.000","$38,316","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"Digital Surgeons, LLC","$2,696,194.00","2016-05-24T00:00:00.000","$808,858","Film and Digital Media Production Tax Credit","CGS 12-217jj","New Haven"
"Triple Threat Connecticut, LLC","$1,053,725.00","2016-05-26T00:00:00.000","$316,118","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Bob's Discount Furniture LLC","$1,702,201.00","2016-06-09T00:00:00.000","$510,660","Film and Digital Media Production Tax Credit","CGS 12-217jj","Manchester"
"LifeMed Media Inc.","$1,913,615.00","2016-06-21T00:00:00.000","$574,085","Film and Digital Media Production Tax Credit","CGS 12-217jj","Wilton"
"Explorer Films, LLC","$1,354,035.00","2016-06-29T00:00:00.000","$406,211","Film and Digital Media Production Tax Credit","CGS 12-217jj","Weston"
"National Media Connection LLC","$387,475.00","2016-07-05T00:00:00.000","$38,748","Film and Digital Media Production Tax Credit","CGS 12-217jj","New London"
"Leftfield Pictures of NY LLC","$413,410.00","2016-07-06T00:00:00.000","$41,341","Film and Digital Media Production Tax Credit","CGS 12-217jj","Branford"
"A&E Television Networks, LLC","$36,356,795.00","2016-07-12T00:00:00.000","$10,907,039","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"XVIVO, LLC","$1,359,585.00","2016-07-18T00:00:00.000","$407,876","Film and Digital Media Production Tax Credit","CGS 12-217jj","Wethersfield"
"SeeClickFix, Inc.","$3,541,725.00","2016-07-20T00:00:00.000","$1,062,518","Film and Digital Media Production Tax Credit","CGS 12-217jj","New Haven"
"Sono Studios LTD LLC","$1,034,837.00","2016-08-10T00:00:00.000","$310,451","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"Budderfly Four, LLC","$1,074,866.00","2016-08-22T00:00:00.000","$322,460","Film and Digital Media Production Tax Credit","CGS 12-217jj","Shelton"
"Blue Sky Studios, Inc.","$30,174,468.00","2016-09-01T00:00:00.000","$6,530,970","Digital Animation Production Company Tax Credit","CGS 12-217ll","Greenwich"
"Connecticut Public Broadcasting, Inc.","$2,782,490.00","2016-09-07T00:00:00.000","$834,747","Film and Digital Media Production Tax Credit","CGS 12-217jj","Hartford"
"World Wrestling Entertainment Inc.","$30,379,832.00","2016-09-16T00:00:00.000","$9,113,950","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"World Wrestling Entertainment, Inc.","$8,753,544.00","2016-09-16T00:00:00.000","$2,626,063","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"NBC Sports Network, LP","$25,311,498.00","2016-09-26T00:00:00.000","$7,593,449","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Blue Sky Studios, Inc.","$29,627,733.00","2016-10-20T00:00:00.000","$8,888,320","Film and Digital Media Production Tax Credit","CGS 12-217jj","Greenwich"
"Ruckus Media Group","$533,140.00","2016-11-02T00:00:00.000","$79,971","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"Telemark Films, LLC","$259,641.00","2011-11-18T00:00:00.000","$77,892","Film and Digital Media Production Tax Credit","CGS 12-217jj","Groton"
"Hedgeye Risk Management, LLC","$8,810,945.00","2016-12-14T00:00:00.000","$2,643,284","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"NBC Olympics, LLC","$2,099,591.00","2016-12-14T00:00:00.000","$629,877","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"NBC Sports Ventures LLC","$8,232,687.00","2016-12-14T00:00:00.000","$2,469,806","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Tantor Media, Inc.","$3,415,906.00","2016-12-30T00:00:00.000","$1,024,772","Film and Digital Media Production Tax Credit","CGS 12-217jj","Old Saybrook"
"Ralph Edwards/Stu Billett Productions","$13,231,138.00","2017-01-26T00:00:00.000","$3,969,341","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Stamford Media Center Productions, LLC","$25,240,488.00","2017-03-29T00:00:00.000","$7,572,146.4","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Stamford Media Center Productions, LLC","$17,496,408.00","2017-03-29T00:00:00.000","$5,248,922.4","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Stamford Media Center Productions, LLC","$10,757,151.00","2017-03-29T00:00:00.000","$3,227,145.3","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Stamford Media Center Productions, LLC","$10,243,689.00","2017-03-29T00:00:00.000","$3,073,106.7","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Silver Plume Productions, LLC","$209,050.00","2010-05-11T00:00:00.000","$62,715","Film and Digital Media Production Tax Credit","CGS 12-217jj","Greenwich"
"Digital Surgeons, LLC","$3,404,546.00","2017-05-01T00:00:00.000","$1,021,364","Film and Digital Media Production Tax Credit","CGS 12-217jj","New Haven"
"Bob's Discount Furniture LLC","$1,905,129.00","2017-05-02T00:00:00.000","$571,539","Film and Digital Media Production Tax Credit","CGS 12-217jj","Manchester"
